Profile Name,Profile Name link,Job Title,Location
Beatrice Vivier Adrien Gateau Caroline Rey 5 autres relations que vous avez en commun,https://www.linkedin.com/in/beatrice-vivier-863a644/,Wealth management & M&A,"Boulogne-Billancourt, Île-de-France, France"
Xavier Latil Gandé Aitor DAGBA EGUILUZ Renaud TEDALDI 9 autres relations que vous avez en commun,https://www.linkedin.com/in/xlatil/,Senior executive - cross industry digital transformation - AI and data - board member,Paris et périphérie
Stephane Aubin Bertrand Jouvenot Dominique Seguin 🟢 Vendre facilement 109 autres relations que vous avez en commun,https://www.linkedin.com/in/stephane-aubin/,CEO at Cherry Pick 🍒 @Station F / Business Angel & Open to something new 🚀,"Paris, Île-de-France, France"
Pap' Amadou Ngom Tong Chhor Boris Janicek 4 autres relations que vous avez en commun,https://www.linkedin.com/in/pngom/,Co-founder and President at Sqorus (ex S&H) #ManagerForInclusion,"Paris, Île-de-France, France"
Charles Simpson Jean-Hubert CORNET Morgane LE MOUËL 🚀 8 autres relations que vous avez en commun,https://www.linkedin.com/in/charles-simpson-2321b710/,"M&A hôtelier | Consultant | IA, data & automatisation",France
Antoine Fustier Dominique Seguin 🟢 Vendre facilement Sébastien Leleu,https://www.linkedin.com/in/antoine-fustier-93976b15/,Directeur d'investissement en Private Equity chez Siparex,"Paris, Île-de-France, France"
Nicolas MARTINEAU Cyril Pierre de Geyer Ben Costantini 1 autre relation que vous avez en commun,https://www.linkedin.com/in/nicolas-martineau-1b773aa/,Partner at ISAI Gestion - Tech Growth & LBO,"Paris, Île-de-France, France"
Franck Magne Thomas du Paty de Clam Etienne Alcouffe 4 autres relations que vous avez en commun,https://www.linkedin.com/in/franck-magne-13b9b64/,Founder at EAVEST,"Paris, Île-de-France, France"
Denis Genest Anne-Sophie Nardy Besson-Gonthier Batoul Hassoun 52 autres relations que vous avez en commun,https://www.linkedin.com/in/denis-genest-implid/,Partner - Deputy CEO - Chief Revenue Officer,"Paris, Île-de-France, France"
Yves Gambart de Lignières Giuseppe de Martino Loïc Deffains 24 autres relations que vous avez en commun,https://www.linkedin.com/in/yves-gambart-de-ligni%C3%A8res/,Directeur Associé chez Valoria Capital,"Paris, Île-de-France, France"
Eric Séheux Thomas du Paty de Clam Siptene Pirbay 11 autres relations que vous avez en commun,https://www.linkedin.com/in/eric-s%C3%A9heux-82a4365/,Président - Chairman,Paris et périphérie
Arthur Bureau Bertrand Jouvenot Jean Marie Tassy Simeoni 29 autres relations que vous avez en commun,https://www.linkedin.com/in/arthur-bureau-663b0213/,Partner chez Momentum Invest,Paris et périphérie
Antoine Bodet Giuseppe de Martino Laurent Plantier 12 autres relations que vous avez en commun,https://www.linkedin.com/in/antoine-bodet-33589a13/,Partner at AXIO Capital,"Paris, Île-de-France, France"
Rami Karam Alberto Buron Romain Coirault 37 autres relations que vous avez en commun,https://www.linkedin.com/in/rami-karam/,Directeur Général - Sport Découverte,"Marseille, Provence-Alpes-Côte d’Azur, France"
Alain Sarfati Mickaël Gros Laetitia Lanfranchi 30 autres relations que vous avez en commun,https://www.linkedin.com/in/alainsarfati/,Previous Owner and CEO of MetaFactory (Software company) - Business Angel - Partner @50Partners,Paris et périphérie
Alexandre Chaton Alberto Buron Grégoire BEAURAIN 10 autres relations que vous avez en commun,https://www.linkedin.com/in/alexandre-chaton-460259b/,Partner at MBO & Co,Paris et périphérie
Alexandre Carrot Jerome CASTEUBLE Vincent Bernot 1 autre relation que vous avez en commun,https://www.linkedin.com/in/alexandre-carrot-4bb42b17/,Directeur Général - AMDG,"Lyon, Auvergne-Rhône-Alpes, France"
Michel Claret bernard jomard Sébastien Leleu,https://www.linkedin.com/in/michel-claret/,Partner - Capital Export,Paris et périphérie
Laurent Arbona de Soler Jerome CASTEUBLE Cyril Fougères 3 autres relations que vous avez en commun,https://www.linkedin.com/in/laurent-arbona-de-soler-90423312/,Managing Director chez Indigo Capital,"Paris, Île-de-France, France"
Christian Pousset Gandé Aitor DAGBA EGUILUZ Thomas du Paty de Clam 8 autres relations que vous avez en commun,https://www.linkedin.com/in/christianpousset/,Président chez We’ll Group,"Paris, Île-de-France, France"
François ROBIN Cyril Garbois Laetitia Lanfranchi 9 autres relations que vous avez en commun,https://www.linkedin.com/in/frobin75/,Directeur général chez L'AGEFI,Paris et périphérie
Hubert Andre Boris Konovalov Sébastien Leleu,https://www.linkedin.com/in/hubert-andre-45844a3/,Président de société,Paris et périphérie
Antoine DELON 8 k abonnés Emmanuel de Vauxmoret Cyril Garbois 5 autres relations que vous avez en commun,https://www.linkedin.com/in/antoine-delon-5aa5838/,President de LINXEA,Paris et périphérie
Benjamin Hara Cyril Garbois Gaspard Gantzer 9 autres relations que vous avez en commun,https://www.linkedin.com/in/benjaminhara/,Partner - Eurazeo Elevate (Midcap Buyout),Paris et périphérie
Olivier Parmentier Clémence Rousseau-Dumarcet Jerome CASTEUBLE 3 autres relations que vous avez en commun,https://www.linkedin.com/in/olivier-parmentier-075371/,On my way towards sustainable investing,"Paris, Île-de-France, France"
Romain BOISSON DE CHAZOURNES Jerome CASTEUBLE Sébastien Leleu,https://www.linkedin.com/in/romain-boisson-de-chazournes-ba474116/,Directeur associé / Partner at Siparex,Paris et périphérie
Romain Ohayon Grégoire BEAURAIN Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/romain-ohayon-a7691211/,Managing Director Private Equity,Paris et périphérie
Olivier OSSIPOFF 4 k abonnés Yoann Castiel Thomas du Paty de Clam 5 autres relations que vous avez en commun,https://www.linkedin.com/in/olivier-ossipoff-2a2339/fr/,"Président, Xerys Gestion","Neuilly-sur-Seine, Île-de-France, France"
Damien Beurier Nicolas Machard Jean Marie Tassy Simeoni 43 autres relations que vous avez en commun,https://www.linkedin.com/in/dbeurier/fr/,Head of M&A and Partnerships at North Star Network,"Levallois-Perret, Île-de-France, France"
Stéphane RUDZINSKI 5 k abonnés Siptene Pirbay Adrien Gateau 9 autres relations que vous avez en commun Accéder à mon site web,https://www.linkedin.com/in/st%C3%A9phane-rudzinski-983a60a/,Président de RHETORES - Family Office - Business Angel,"Paris, Île-de-France, France"
Philippe Rochmann Etienne Alcouffe Jerome CASTEUBLE 1 autre relation que vous avez en commun,https://www.linkedin.com/in/philippe-rochmann-095466/,Managing partner at Maison ECK,"Paris, Île-de-France, France"
Mathieu FEREL 5 k abonnés Edouard Seynaeve Julie Fabre 9 autres relations que vous avez en commun,https://www.linkedin.com/in/mathieuferel/,Co-founder at Singulier and private investor - Digital transformation specialist,Paris et périphérie
Hamid Benamara 11 k abonnés Grégoire BEAURAIN Dominique Seguin 🟢 Vendre facilement 38 autres relations que vous avez en commun,https://www.linkedin.com/in/hamid-benamara/,Partner I Interim Management & Executive Search Practice,"Paris, Île-de-France, France"
Claude Tempe 11 k abonnés Etienne Viellard Giuseppe de Martino 29 autres relations que vous avez en commun,https://www.linkedin.com/in/claude-tempe-42a9525/,CEO Fondateur,Paris et périphérie
"Guillaume Piard, CFA Dominique Seguin 🟢 Vendre facilement Cyril Pierre de Geyer 78 autres relations que vous avez en commun Accéder à mon site web",https://www.linkedin.com/in/guillaume-piard/,Entrepreneur and private investor,"Paris, Île-de-France, France"
Stefan De Quelen Nicolas Bertelli Jerome CASTEUBLE 13 autres relations que vous avez en commun,https://www.linkedin.com/in/stefan-de-quelen/,Direction Générale / Direction du Développement / Création d'entreprises,"Paris, Île-de-France, France"
Francois Xavier Mauron Janet O'Sullivan Thomas du Paty de Clam 8 autres relations que vous avez en commun,https://www.linkedin.com/in/francois-xavier-mauron-3049a5/,Partner at Andera Partners,Paris et périphérie
Etienne Besançon Dominique Seguin 🟢 Vendre facilement Sébastien Leleu 4 autres relations que vous avez en commun,https://www.linkedin.com/in/etienne-besan%C3%A7on-2a5143/,Founding President chez Constellation,"Saint-Cloud, Île-de-France, France"
Baptiste HAMEL 25 k abonnés Jean Neltner Jean Marie Tassy Simeoni 232 autres relations que vous avez en commun,https://www.linkedin.com/in/baptistehamel/fr/,Cofondateur,Paris et périphérie
Florent Colombet Serge Kinkingnéhun 🪳 Arthur Waller 13 autres relations que vous avez en commun,https://www.linkedin.com/in/florentcolombet/,Operational Expert for Asset Manager | ex-COO Eiffel IG & ex-Co-Founder Tygrow,Paris et périphérie
Nicolas Ducic Siptene Pirbay Sébastien Leleu 3 autres relations que vous avez en commun,https://www.linkedin.com/in/nicolas-ducic-67bb433/,Gestionnaire de Patrimoine,"Paris, Île-de-France, France"
Pierre LANSONNEUR Grégoire BEAURAIN Giuseppe de Martino 18 autres relations que vous avez en commun,https://www.linkedin.com/in/lansonneur/,PRESIDENT,Paris et périphérie
Alexis Kemlin Adrien Gateau Jerome CASTEUBLE 6 autres relations que vous avez en commun,https://www.linkedin.com/in/alexis-kemlin-24a9a8/,Partner - Software / Healthcare Investor,France
Bertrand Liber Jean-François Fruchtman Sébastien Leleu 2 autres relations que vous avez en commun,https://www.linkedin.com/in/bertrand-liber-355419/,Gérant @ Harbour Holding,Paris et périphérie
Thibault Depardon Jean-François Fruchtman Simon Févry 9 autres relations que vous avez en commun,https://www.linkedin.com/in/thibaultdepardon/,GM & COO | Tech & Healthcare | Artificial intelligence,"Paris, Île-de-France, France"
Thomas Cisterne Jean Marie Tassy Simeoni Dominique Seguin 🟢 Vendre facilement 10 autres relations que vous avez en commun,https://www.linkedin.com/in/thomas-cisterne-b2a4a14/,Partner Strategy & Operations,France
Damien Marty Etienne Viellard Boris Janicek 28 autres relations que vous avez en commun,https://www.linkedin.com/in/damienmarty/,Partner | Ambienta,"Paris, Île-de-France, France"
Eric DEROUET 8 k abonnés Christofer Ciminelli Guillaume Lestrade 5 autres relations que vous avez en commun,https://www.linkedin.com/in/ericderouet/,CEO and Founder at SYNETIS,Paris et périphérie
Patrice Hutin Olivier Tilloy Jerome CASTEUBLE 4 autres relations que vous avez en commun,https://www.linkedin.com/in/patrice-hutin-b1565b18/,Président de SOFIOUEST,Paris et périphérie
Andréas KUNZ Stéphane ATLANI Sébastien Leleu 2 autres relations que vous avez en commun,https://www.linkedin.com/in/andr%C3%A9as-kunz-b59bba11/,Président AVA6 Group,Lyon et périphérie
Patrick Richer Etienne Viellard Nicolas Machard 53 autres relations que vous avez en commun,https://www.linkedin.com/in/patrick-richer-59954b1/,Founder & CEO at Neovian Partners - Investor,"Paris, Île-de-France, France"
Tarik Saadallah Laurent Plantier Baptiste Derongs 21 autres relations que vous avez en commun,https://www.linkedin.com/in/tarik-saadallah-a56319b/,M&A advisor - Investor,"Paris, Île-de-France, France"
Mounir khalifa Emmanuel de Vauxmoret Bruno Vaillant 20 autres relations que vous avez en commun,https://www.linkedin.com/in/mounirkhalifa/,CEO & Founder Tritux Group,"Paris, Île-de-France, France"
Stephane Albernhe Éloïc Peyrache Laetitia Lanfranchi 5 autres relations que vous avez en commun,https://www.linkedin.com/in/stephane-albernhe-2747749/,President at Archery Strategy Consulting,Paris et périphérie
Matthieu Simon Jerome CASTEUBLE Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/msimsg/,Directeur Exécutif - Investissement Minoritaire & Impact - Sodero,France
Aimery Duriez-Mise 7 k abonnés Cyril Pierre de Geyer Emmanuel de Vauxmoret 43 autres relations que vous avez en commun,https://www.linkedin.com/in/aimeryduriezmise/,Co-Founder & CO-CEO of Alenia Consulting - Bootstraper - Host of ""Prod'Way"" Podcast,Paris et périphérie
Benoist Lombard 13 k abonnés Boris Janicek Cyril Garbois 27 autres relations que vous avez en commun,https://www.linkedin.com/in/benoist-lombard-451110/,Président Visumbellus & Vincera,Paris et périphérie
Stephane Roussilhe Cyril Garbois Tristan Le Corre 2 autres relations que vous avez en commun,https://www.linkedin.com/in/stephaneroussilhe/,Investor / Board member / Senior Advisor,Paris et périphérie
Victor Mertz Jean Neltner Olivier Tilloy 108 autres relations que vous avez en commun,https://www.linkedin.com/in/victormertz/,"💸 VC Source Ventures • 👨‍💻 Ex-CMO PayFit, Lemonway",France
Lionel Dunand Matthieu Vetter Sébastien Leleu,https://www.linkedin.com/in/lionel-dunand/,Partner,France
Jean-Mathieu SAHY Gilbert Potié Dominique Seguin 🟢 Vendre facilement 7 autres relations que vous avez en commun Accéder à mon site web,https://www.linkedin.com/in/jean-mathieu-sahy/,"Founder & CEO, Capital Export",France
Laurent Baudino Jean Marie Tassy Simeoni Gaspard Gantzer 14 autres relations que vous avez en commun,https://www.linkedin.com/in/laurent-baudino-6ba3ba1/,Directeur Associé at ISATIS Capital,"Paris, Île-de-France, France"
Vincent Ténière Jerome CASTEUBLE Cyril Fougères 2 autres relations que vous avez en commun,https://www.linkedin.com/in/vincent-t%C3%A9ni%C3%A8re-a8312a7/,Chief Executive Officer at Talence Patrival,Paris et périphérie
Baptiste Rubat du Mérac Matthias Fille Ben Costantini 7 autres relations que vous avez en commun,https://www.linkedin.com/in/baptiste-rubat-du-m%C3%A9rac-8b61293/,Chef de service,France
Anthony CALCI 3 k abonnés Nicolas Bertelli Jerome CASTEUBLE 7 autres relations que vous avez en commun,https://www.linkedin.com/in/anthonycalci/,"Conseiller en gestion de patrimoine ""vrai CGP"" | @CalciPatrimoine | Stratégie financière, civile, fiscale des entrepreneurs et des HNWI | Du fonds euros aux cryptos | Forte Notoriété Leaders League | Membre de Magnacarta",Paris et périphérie
Damien FULCHIRON Jerome CASTEUBLE Sébastien Leleu 6 autres relations que vous avez en commun,https://www.linkedin.com/in/damien-fulchiron-7153221/,Managing Partner - SIPAREX Entrepreneurs,"Paris, Île-de-France, France"
Benoît Poulain Grégoire BEAURAIN Adrien Gateau 7 autres relations que vous avez en commun,https://www.linkedin.com/in/beno%C3%AEt-poulain-23144b9/,Group CFO - Sediver,Paris et périphérie
Vincent Manes Jerome CASTEUBLE Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/vincent-manes-15b17311/,Partner at Elyan Partners (an expertise of Edmond de Rothschild Private Equity),"Paris, Île-de-France, France"
Adrien d'Auriol Jerome CASTEUBLE Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/adrien-d-auriol-7285a13/,Founding Partner at Peninsular Capital,Paris et périphérie
Laurence Bouttier Jean Neltner Serge Descombes 4 autres relations que vous avez en commun,https://www.linkedin.com/in/laurence-bouttier-b25307/,Directrice Associée chez Parquest,"Paris, Île-de-France, France"
Edwina Bassil Matthieu Pellet Gabriel Delattre 38 autres relations que vous avez en commun,https://www.linkedin.com/in/edwinabassil/,"Head of Mergers & Acquisitions (M&A) and Post Merger Integration (PMI), Partner at European Digital Group",Paris et périphérie
Johann Schwimann 30 k abonnés Tong Chhor Éloïc Peyrache 19 autres relations que vous avez en commun,https://www.linkedin.com/in/johann-schwimann-1948406/,CEO - Seven Capital Management,France
FABRICE LEMARCHAND Laurent Plantier Jerome CASTEUBLE 5 autres relations que vous avez en commun,https://www.linkedin.com/in/fabrice-lemarchand-200984/,Directeur Interrégional Fonds Propres - Bpifrance Investissement,Paris et périphérie
Nathalie Margraitte Grégoire BEAURAIN Pauline Arnaud-Blanchard 5 autres relations que vous avez en commun,https://www.linkedin.com/in/nathalie-margraitte-29b7365/,Transaction Advisory Services Partner | CSR and Sustainability sponsor,France
Christophe DUBERRY 1 k abonnés Jerome CASTEUBLE Denis MEILHON 1 autre relation que vous avez en commun,https://www.linkedin.com/in/christophe-duberry-9153509/,Directeur chez Deloitte Société d’Avocats,Montpellier et périphérie
Benjamin Bitton 15 k abonnés Jean Marie Tassy Simeoni Olivier Tilloy 123 autres relations que vous avez en commun,https://www.linkedin.com/in/bittonbenjamin/,Managing Partner at 2CFinance & 2CGroup,"Paris, Île-de-France, France"
Martin Bellé Grégoire BEAURAIN Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/mbelle/,Private Equity investor @ 21 Invest,Paris et périphérie
Jean Biscarrat Valentin Fedronic bernard jomard 3 autres relations que vous avez en commun,https://www.linkedin.com/in/jean-biscarrat-4ba91611/,President et Directeur de la gestion,France
Cedric Robert Pierre Harand Jerome CASTEUBLE 3 autres relations que vous avez en commun,https://www.linkedin.com/in/cedric-robert-4b4a18/,Co-Founder at PF Invest,France
Arnaud Mendelsohn Jerome CASTEUBLE Sébastien Leleu,https://www.linkedin.com/in/arnaud-mendelsohn-28531718/,Directeur Associé chez Initiative & Finance,Paris et périphérie
Nicolas Teboul Jerome CASTEUBLE Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/nicolas-teboul-95a762/,Managing Partner at Florac,Paris et périphérie
François Carré Grégoire BEAURAIN Jerome CASTEUBLE 3 autres relations que vous avez en commun,https://www.linkedin.com/in/fran%C3%A7ois-carr%C3%A9-0788301/,Managing Partner at EMZ,Paris et périphérie
Julien Andrieux Jerome CASTEUBLE Sébastien Leleu 2 autres relations que vous avez en commun,https://www.linkedin.com/in/jandrieux/,Venture Capital & Private Equity,"Paris, Île-de-France, France"
Nicolas Sebille Jean Marie Tassy Simeoni Boris Janicek 2 autres relations que vous avez en commun,https://www.linkedin.com/in/nicolas-sebille-b245826/,Principal at Naxicap Partners,France
Stéphane Chekroun Ben Guerville Gaspard Gantzer 13 autres relations que vous avez en commun,https://www.linkedin.com/in/st%C3%A9phane-chekroun-2b080ab/,Associé - Partner chez Selescope,"Paris, Île-de-France, France"
Gregoire De Castelnau Cyril Garbois Thomas du Paty de Clam 2 autres relations que vous avez en commun,https://www.linkedin.com/in/gregoire-de-castelnau-39686715/,Directeur Associé chez Stags Participations,Paris et périphérie
Thomas Schneegans Olivier Tilloy Cyril Garbois 28 autres relations que vous avez en commun,https://www.linkedin.com/in/thomas-schneegans-1190068/,Président & Co-Fondateur,Paris et périphérie
Paul Vaissié Cyril Garbois James Rebours 6 autres relations que vous avez en commun,https://www.linkedin.com/in/paul-vaissi%C3%A9-27a74215/,"Partner at MBO+ | LBO, Private Equity",France
Tanguy Tauzinat Batoul Hassoun Pauline Arnaud-Blanchard 5 autres relations que vous avez en commun,https://www.linkedin.com/in/tanguy-tauzinat-255a315/,Founding Partner at TRAJAN,Paris et périphérie
"Patrick Bendahan, CFA Jean Marie Tassy Simeoni Pascal de Lima 7 autres relations que vous avez en commun",https://www.linkedin.com/in/patrick-bendahan-cfa-02a6371/,Managing Partner at Florac,"Paris, Île-de-France, France"
Aymeric Martin Stanislas Hauchard Sébastien Leleu,https://www.linkedin.com/in/aymeric-martin-145360/,Managing Director | Co-Head of Private Debt France,Paris et périphérie
Jean-Baptiste Jozan Tong Chhor Anne-Sophie Nardy Besson-Gonthier 118 autres relations que vous avez en commun,https://www.linkedin.com/in/jean-baptiste-jozan-8628095/,Agema - Senior Advisor,Paris et périphérie
Guillaume Lefebvre Etienne Viellard Kevin Primicerio 12 autres relations que vous avez en commun,https://www.linkedin.com/in/guillaume-lefebvre-11a5ab19/,Partner at Sagard / Co-Head Sagard NewGen,Paris et périphérie
Anthony Descalis Nicolas Bertelli Alban Philippe Le Foll 3 autres relations que vous avez en commun,https://www.linkedin.com/in/anthony-descalis-11097219/,Zoom Invest,Paris et périphérie
Rudy Guénaire Gandé Aitor DAGBA EGUILUZ Romain Coirault 15 autres relations que vous avez en commun,https://www.linkedin.com/in/rudy-gu%C3%A9naire-31256a10/,"Founder & Designer, STUDIO NIGHTFLIGHT | Co-Founder, PNY BURGER",France
Jérémie A. 30 k abonnés Gilbert Potié Jean Marie Tassy Simeoni 82 autres relations que vous avez en commun,https://www.linkedin.com/in/j%C3%A9r%C3%A9mie-a-328b141/,Head of Global Digital IT Finance Transformation Manager | FP&A | Tax | Controlling | E-Invoicing & E-Reporting | RPA | IT M&A/ CFO Advisory [Views expressed are personal only],"Paris, Île-de-France, France"
Denis Catz Jerome CASTEUBLE Sébastien Leleu 2 autres relations que vous avez en commun,https://www.linkedin.com/in/denis-catz-2677395/,Partner at Sparring Capital / CEO Sparring Opportunities,Paris et périphérie
Marion de Bonneville Pauline Arnaud-Blanchard Jerome CASTEUBLE 1 autre relation que vous avez en commun,https://www.linkedin.com/in/marion-de-bonneville-b6b9468/,Partner at Flex Equity Mid-Market Capza,Paris et périphérie
Axel Dreyfus 25 k abonnés Bertrand Jouvenot Etienne Viellard 75 autres relations que vous avez en commun Accéder à mon site web,https://www.linkedin.com/in/dreyfus/,Cofounder & COO,Paris et périphérie
Raphaël Bazin Grégoire BEAURAIN Aurelien Visa 6 autres relations que vous avez en commun,https://www.linkedin.com/in/rapha%C3%ABl-bazin-a151762/,Partner at Azulis Capital,"Neuilly-sur-Seine, Île-de-France, France"
David Robin 2 k abonnés Laetitia Lanfranchi Sébastien Leleu 3 autres relations que vous avez en commun,https://www.linkedin.com/in/david-robin-b906383/,Associé,Paris et périphérie
Romain LOURTIOUX 4 k abonnés Olivier Tilloy Arthur Waller 16 autres relations que vous avez en commun,https://www.linkedin.com/in/romainlourtioux/,Directeur du Développement @Parallel Invest,"Paris, Île-de-France, France"
Milène Gréhan Batoul Hassoun Cyril Garbois 25 autres relations que vous avez en commun,https://www.linkedin.com/in/milenegrehan/,"Directrice M&A, Participations stratégiques et Financement de MAIF",Paris et périphérie
Jean-Christophe Salager 7 k abonnés Arthur Waller Joséphine Bournonville ✊🌱 22 autres relations que vous avez en commun,https://www.linkedin.com/in/jeanchristophesalager/,Strategy - Impact - Finance,"Paris, Île-de-France, France"
Arnaud Faure Jerome CASTEUBLE Sébastien Leleu,https://www.linkedin.com/in/arnaud-faure-9635bb10/,Associé,"Paris, Île-de-France, France"
Christophe Parier Jean Marie Tassy Simeoni Cyril Pierre de Geyer 2 autres relations que vous avez en commun,https://www.linkedin.com/in/christophe-parier-6b8b5/,We are a private equity firm building strong partnership with visionary entrepreneurs to accelerate the landscape of innovative services.,Paris et périphérie
Jean-Marie LEROY Cyril Garbois Jerome CASTEUBLE 2 autres relations que vous avez en commun,https://www.linkedin.com/in/jean-marie-leroy-83259011/,"LBO France - Partner, Head of Small Caps Buy Out",France
David Checoury Romuald Gillard Sébastien Leleu,https://www.linkedin.com/in/david-checoury-9661087/,Partner & Managing Director Stanhope Capital SAS,Paris et périphérie
Sébastien Alauzet Jerome CASTEUBLE Sébastien Leleu 4 autres relations que vous avez en commun,https://www.linkedin.com/in/s%C3%A9bastien-alauzet-2927013/,PharmD | Partner chez Vivalto Partners | Healthcare investor,Paris et périphérie
Cécile Penard Jerome CASTEUBLE Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/c%C3%A9cile-penard-3209628/,Responsable Financements Structurés Small & Mid Caps,Paris et périphérie
Olivier Dagneaux Jean Baptiste Ronssin Sébastien Leleu 5 autres relations que vous avez en commun,https://www.linkedin.com/in/olivier-dagneaux-97820a1/,Partner at Texeï - we're hiring !,Paris et périphérie
Jean-Emmanuel Challan Belval 6 k abonnés Lucinde Savatier Adrien Gateau 20 autres relations que vous avez en commun,https://www.linkedin.com/in/jean-emmanuel-challan-belval-08224912/,CEO Greenscope | Sustainable Finance | Private Market,Paris et périphérie
Thibaud de Portzamparc Jean Marie Tassy Simeoni Batoul Hassoun 12 autres relations que vous avez en commun,https://www.linkedin.com/in/thibauddep/,Partner - Siparex ETI,France
Virginie ZOUINE 29 k abonnés Jean Neltner Nicolas Machard 80 autres relations que vous avez en commun,https://www.linkedin.com/in/virginie-zouine-a197927/,Responsable Projets Stratégiques et Développement Formatrice Stratégie Marketing et Relation Client,"Saint-Leu-la-Forêt, Île-de-France, France"
Alexandre Flavier Giuseppe de Martino Audrey Philippot Dahan 62 autres relations que vous avez en commun,https://www.linkedin.com/in/alexandre-flavier-160b4219/,Partner at Hg,France
Astrid Cloarec Dominique Seguin 🟢 Vendre facilement Sébastien Leleu 1 autre relation que vous avez en commun,https://www.linkedin.com/in/astrid-cloarec-a405a61/,Directrice Associée at Azulis Capital,France
Guillaume Dhee Tong Chhor Alberto Buron 63 autres relations que vous avez en commun,https://www.linkedin.com/in/guillaumedhee/,Investment Director @ Crédit Mutuel Innovation,"Paris, Île-de-France, France"
Cyprien Choutet Emmanuel de Vauxmoret Yann Gabay 1 autre relation que vous avez en commun,https://www.linkedin.com/in/cyprien-choutet-782a902/,Partner - Qualium Investissement,Paris et périphérie
Julien Creuzé 10 k abonnés Elena Luneva Cyril Garbois 44 autres relations que vous avez en commun,https://www.linkedin.com/in/juliencreuze/,Partner at BlackFin | Investing in Fintechs & Insurtechs,"Paris, Île-de-France, France"
Loic Bourdy Simon Févry Jerome CASTEUBLE 3 autres relations que vous avez en commun,https://www.linkedin.com/in/loic-bourdy-88b05a2/,Directeur du Private Equity d'ACER FINANCE,Paris et périphérie
Benjamin Durand 4 k abonnés Thibaud Elziere Siptene Pirbay 7 autres relations que vous avez en commun,https://www.linkedin.com/in/benjamin-durand-68729b2/,Managing Partner at B. Durand Capital Partners,Paris et périphérie
William Higgons Jerome CASTEUBLE Sébastien Leleu 7 autres relations que vous avez en commun,https://www.linkedin.com/in/william-higgons-389658b/,Président Indépendance AM,Paris et périphérie
